strategy,question,answer,ground_truth,answer_relevancy,faithfulness,context_precision,context_recall
advanced,Write a FastAPI endpoint that accepts a JSON request body using standard parameter defaults and Python 3.10+ syntax. [ex007 · py310],"from typing import Annotated

from fastapi import Body, FastAPI

app = FastAPI()


@app.post(""/items/"")
async def create_item(
    item: Annotated[
        dict,
        Body(
            examples=[
                {""name"": ""Foo"", ""description"": ""A very nice Item"", ""price"": 35.4},
                {""name"": ""Bar"", ""description"": ""A much better Item"", ""price"": 35.4},
            ],
        ),
    ],
):
    return item","async def create_offer(offer: Offer):
    return offer",1.0,0.125,0.5,0.8
advanced,Implement the FastAPI internal function `__get_validators__` from `fastapi/openapi_models.py.py`.,"# Returns an iterable of validators for the class.
def __get_validators__(cls) -> Iterable[Callable[..., Any]]:
            yield cls.validate","def __get_validators__(cls) -> Iterable[Callable[..., Any]]:
            yield cls.validate",1.0,1.0,1.0,0.0
advanced,Write a FastAPI endpoint that returns a typed response model using standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 1),"# This code defines a FastAPI endpoint that returns a typed response model.
from typing import Union

from fastapi import FastAPI
from pydantic import BaseModel

app = FastAPI()


class Item(BaseModel):
    name: str
    price: float


@app.get(""/items/{item_id}"", response_model=Item)
async def read_item(item_id: int, q: Union[str, None] = None):
    return {""name"": ""Foo"", ""price"": 42.0}","async def create_item(item: Item) -> Item:
    return item


async def read_items() -> list[Item]:
    return [
        Item(name=""Portal Gun"", price=42.0),
        Item(name=""Plumbus"", price=32.0),
    ]",0.7,0.125,0.3333333333333333,0.2
advanced,Implement the FastAPI internal function `_get_openapi_operation_parameters` from `fastapi/openapi_utils.py.py`.,"# This function generates OpenAPI parameters for a given dependant.
def _get_openapi_operation_parameters(
    *,
    dependant: Dependant,
    model_name_map: ModelNameMap,
    field_mapping: dict[
        tuple[ModelField, Literal[""validation"", ""serialization""]], dict[str, Any]
    ],
    separate_input_output_schemas: bool = True,
) -> list[dict[str, Any]]:
    parameters = []
    flat_dependant = get_flat_dependant(dependant, skip_repeats=True)
    path_params = _get_flat_fields_from_params(flat_dependant.path_params)
    query_params = _get_flat_fields_from_params(flat_dependant.query_params)
    header_params = _get_flat_fields_from_params(flat_dependant.header_params)
    cookie_params = _get_flat_fields_from_params(flat_dependant.cookie_params)
    parameter_groups = [
        (ParamTypes.path, path_params),
        (ParamTypes.query, query_params),
        (ParamTypes.header, header_params),
        (ParamTypes.cookie, cookie_params),
    ]
    default_convert_underscores = True
    if len(flat_dependant.header_params) == 1:
        first_field = flat_dependant.header_params[0]
        if lenient_issubclass(first_field.field_info.annotation, BaseModel):
            default_convert_underscores = getattr(
                first_field.field_info, ""convert_underscores"", True
            )
    for param_type, param_group in parameter_groups:
        for param in param_group:
            field_info = param.field_info
            # field_info = cast(Param, field_info)
            if not getattr(field_info, ""include_in_schema"", True):
                continue
            param_schema = get_schema_from_model_field(
                field=param,
                model_name_map=model_name_map,
                field_mapping=field_mapping,
                separate_","def _get_openapi_operation_parameters(
    *,
    dependant: Dependant,
    model_name_map: ModelNameMap,
    field_mapping: dict[
        tuple[ModelField, Literal[""validation"", ""serialization""]], dict[str, Any]
    ],
    separate_input_output_schemas: bool = True,
) -> list[dict[str, Any]]:
    parameters = []
    flat_dependant = get_flat_dependant(dependant, skip_repeats=True)
    path_params = _get_flat_fields_from_params(flat_dependant.path_params)
    query_params = _get_flat_fields_from_params(flat_dependant.query_params)
    header_params = _get_flat_fields_from_params(flat_dependant.header_params)
    cookie_params = _get_flat_fields_from_params(flat_dependant.cookie_params)
    parameter_groups = [
        (ParamTypes.path, path_params),
        (ParamTypes.query, query_params),
        (ParamTypes.header, header_params),
        (ParamTypes.cookie, cookie_params),
    ]
    default_convert_underscores = True
    if len(flat_dependant.header_params) == 1:
        first_field = flat_dependant.header_params[0]
        if lenient_issubclass(first_field.field_info.annotation, BaseModel):
            default_convert_underscores = getattr(
                first_field.field_info, ""convert_underscores"", True
            )
    for param_type, param_group in parameter_groups:
        for param in param_group:
            field_info = param.field_info
            # field_info = cast(Param, field_info)
            if not getattr(field_info, ""include_in_schema"", True):
                continue
            param_schema = get_schema_from_model_field(
                field=param,
                model_name_map=model_name_map,
                field_mapping=field_mapping,
                separate_input_output_schemas=separate_input_output_schemas,
            )
            name = get_validation_alias(param)
            convert_underscores = getattr(
                param.field_info,
                ""convert_underscores"",
                default_convert_underscores,
            )
            if (
                param_type == ParamTypes.header
                and name == param.name
                and convert_underscores
            ):
                name = param.name.replace(""_"", ""-"")

            parameter = {
                ""name"": name,
                ""in"": param_type.value,
                ""required"": param.field_info.is_required(),
                ""schema"": param_schema,
            }
            if field_info.description:
                parameter[""description""] = field_info.description
            openapi_examples = getattr(field_info, ""openapi_examples"", None)
            example = getattr(field_info, ""example"", None)
            if openapi_examples:
                parameter[""examples""] = jsonable_encoder(openapi_examples)
            elif example != Undefined:
                parameter[""example""] = jsonable_encoder(example)
            if getattr(field_info, ""deprecated"", None):
                parameter[""deprecated""] = True
            parameters.append(parameter)
    return parameters",0.5,1.0,1.0,1.0
advanced,Implement the FastAPI dependency injection utility `get_body_field`.,"# Get a ModelField representing the request body for a path operation.
def get_body_field(
    *, flat_dependant: Dependant, name: str, embed_body_fields: bool
) -> ModelField | None:
    """"""
    Get a ModelField representing the request body for a path operation, combining
    all body parameters into a single field if necessary.

    Used to check if it's form data (with `isinstance(body_field, params.Form)`)
    or JSON and to generate the JSON Schema for a request body.

    This is **not** used to validate/parse the request body, that's done with each
    individual body parameter.
    """"""
    if not flat_dependant.body_params:
        return None
    first_param = flat_dependant.body_params[0]
    if not embed_body_fields:
        return first_param
    model_name = ""Body_"" + name
    BodyModel = create_body_model(
        fields=flat_dependant.body_params, model_name=model_name
    )
    required = any(
        True for f in flat_dependant.body_params if f.field_info.is_required()
    )
    BodyFieldInfo_kwargs: dict[str, Any] = {
        ""annotation"": BodyModel,
        ""alias"": ""body"",
    }
    if not required:
        BodyFieldInfo_kwargs[""default""] = None
    if any(isinstance(f.field_info, params.File) for f in flat_dependant.body_params):
        BodyFieldInfo: type[params.Body] = params.File
    elif any(isinstance(f.field_info, params.Form) for f in flat_dependant.body_params):
        BodyFieldInfo = params.Form
    else:
        BodyFieldInfo = params.Body

        body_param_media_types = [
            f.field_info.media_type
            for f in flat_dependant.body_params
            if isinstance(f.field_info, params.Body)
        ]
        if len(set(body_param_media_types)) == 1:
            BodyFieldInfo","def get_body_field(
    *, flat_dependant: Dependant, name: str, embed_body_fields: bool
) -> ModelField | None:
    """"""
    Get a ModelField representing the request body for a path operation, combining
    all body parameters into a single field if necessary.

    Used to check if it's form data (with `isinstance(body_field, params.Form)`)
    or JSON and to generate the JSON Schema for a request body.

    This is **not** used to validate/parse the request body, that's done with each
    individual body parameter.
    """"""
    if not flat_dependant.body_params:
        return None
    first_param = flat_dependant.body_params[0]
    if not embed_body_fields:
        return first_param
    model_name = ""Body_"" + name
    BodyModel = create_body_model(
        fields=flat_dependant.body_params, model_name=model_name
    )
    required = any(
        True for f in flat_dependant.body_params if f.field_info.is_required()
    )
    BodyFieldInfo_kwargs: dict[str, Any] = {
        ""annotation"": BodyModel,
        ""alias"": ""body"",
    }
    if not required:
        BodyFieldInfo_kwargs[""default""] = None
    if any(isinstance(f.field_info, params.File) for f in flat_dependant.body_params):
        BodyFieldInfo: type[params.Body] = params.File
    elif any(isinstance(f.field_info, params.Form) for f in flat_dependant.body_params):
        BodyFieldInfo = params.Form
    else:
        BodyFieldInfo = params.Body

        body_param_media_types = [
            f.field_info.media_type
            for f in flat_dependant.body_params
            if isinstance(f.field_info, params.Body)
        ]
        if len(set(body_param_media_types)) == 1:
            BodyFieldInfo_kwargs[""media_type""] = body_param_media_types[0]
    final_field = create_model_field(
        name=""body"",
        type_=BodyModel,
        alias=""body"",
        field_info=BodyFieldInfo(**BodyFieldInfo_kwargs),
    )
    return final_field",1.0,1.0,1.0,1.0
advanced,Implement environment-based configuration in FastAPI using Pydantic Settings with standard parameter defaults and Python 3.10+ syntax. [py310],"# Implements environment-based configuration using Pydantic Settings.
from pydantic_settings import BaseSettings, SettingsConfigDict

class Settings(BaseSettings):
    model_config = SettingsConfigDict(env_file="".env"")

    app_name: str = ""Awesome API""
    admin_email: str = ""admin@example.com""
    items_per_user: int = 50","def get_settings():
    return config.Settings()


async def info(settings: config.Settings = Depends(get_settings)):
    return {
        ""app_name"": settings.app_name,
        ""admin_email"": settings.admin_email,
        ""items_per_user"": settings.items_per_user,
    }",1.0,0.125,0.5888888888888889,1.0
advanced,Implement a Pydantic request body model and FastAPI POST route with standard parameter defaults and Python 3.10+ syntax. [ex002 · py310] (variant 1),"from typing import Literal

from fastapi import FastAPI
from pydantic import BaseModel, Field

app = FastAPI()


class Subscription(BaseModel):
    name: str
    email: str
    age: int = Field(..., gt=18)
    newsletter_frequency: Literal[""daily"", ""weekly"", ""monthly""] = ""weekly""


@app.post(""/subscribe"")
def new_subscription(body: Subscription):
    """"""
    When a new user subscribes to your service we'll send you a POST request with this
    data to the URL that you register for the event `new-subscription` in the dashboard.
    """"""
    return body","async def create_item(item: Item):
    item_dict = item.model_dump()
    if item.tax is not None:
        price_with_tax = item.price + item.tax
        item_dict.update({""price_with_tax"": price_with_tax})
    return item_dict",1.0,0.0,0.2,0.5
advanced,Implement path parameter type validation in a FastAPI endpoint using the `Annotated` type hint style and Python 3.10+ syntax. [ex004 · annotated · py310],"# FastAPI endpoint with a path parameter using Annotated for type validation
from typing import Annotated

from fastapi import FastAPI, Path

app = FastAPI()


@app.get(""/items/{item_id}"")
async def read_items(
    item_id: Annotated[int, Path(title=""The ID of the item to get"")],
):
    return {""item_id"": item_id}","async def read_items(
    item_id: Annotated[int, Path(title=""The ID of the item to get"", ge=1)], q: str
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    return results",1.0,0.375,1.0,1.0
advanced,Implement the FastAPI application method `add_api_websocket_route`.,"# Adds a WebSocket route to the application.
def add_api_websocket_route(
        self,
        path: str,
        endpoint: Callable[..., Any],
        name: str | None = None,
        *,
        dependencies: Sequence[params.Depends] | None = None,
    ) -> None:
        current_dependencies = self.dependencies.copy()
        if dependencies:
            current_dependencies.extend(dependencies)

        route = APIWebSocketRoute(
            self.prefix + path,
            endpoint=endpoint,
            name=name,
            dependencies=current_dependencies,
            dependency_overrides_provider=self.dependency_overrides_provider,
        )
        self.routes.append(route)","def add_api_websocket_route(
        self,
        path: str,
        endpoint: Callable[..., Any],
        name: str | None = None,
        *,
        dependencies: Sequence[Depends] | None = None,
    ) -> None:
        self.router.add_api_websocket_route(
            path,
            endpoint,
            name=name,
            dependencies=dependencies,
        )",1.0,1.0,0.8041666666666667,1.0
advanced,Implement path parameter type validation in a FastAPI endpoint using the `Annotated` type hint style and Python 3.10+ syntax. [ex002 · annotated · py310],"# FastAPI endpoint with a path parameter using Annotated for type validation
from typing import Annotated

from fastapi import FastAPI, Path

app = FastAPI()


@app.get(""/items/{item_id}"")
async def read_items(
    item_id: Annotated[int, Path(title=""The ID of the item to get"")],
):
    return {""item_id"": item_id}","async def read_items(
    q: str, item_id: Annotated[int, Path(title=""The ID of the item to get"")]
):
    results = {""item_id"": item_id}
    if q:
        results.update({""q"": q})
    return results",1.0,0.375,1.0,1.0
advanced,Implement the FastAPI internal function `is_uploadfile_sequence_annotation` from `fastapi/_compat_shared.py.py`.,"# Checks if an annotation represents a sequence of UploadFile or optional UploadFile.
def is_uploadfile_sequence_annotation(annotation: Any) -> bool:
    origin = get_origin(annotation)
    if origin is Union or origin is UnionType:
        at_least_one = False
        for arg in get_args(annotation):
            if is_uploadfile_sequence_annotation(arg):
                at_least_one = True
                continue
        return at_least_one
    return field_annotation_is_sequence(annotation) and all(
        is_uploadfile_or_nonable_uploadfile_annotation(sub_annotation)
        for sub_annotation in get_args(annotation)
    )","def is_uploadfile_sequence_annotation(annotation: Any) -> bool:
    origin = get_origin(annotation)
    if origin is Union or origin is UnionType:
        at_least_one = False
        for arg in get_args(annotation):
            if is_uploadfile_sequence_annotation(arg):
                at_least_one = True
                continue
        return at_least_one
    return field_annotation_is_sequence(annotation) and all(
        is_uploadfile_or_nonable_uploadfile_annotation(sub_annotation)
        for sub_annotation in get_args(annotation)
    )",1.0,0.875,0.7555555555555555,1.0
advanced,Write a FastAPI endpoint that triggers a background task using standard parameter defaults and Python 3.10+ syntax.,"# FastAPI endpoint that triggers a background task.
from fastapi import BackgroundTasks, FastAPI

app = FastAPI()

def write_notification(email: str, message: str = """"):
    with open(""log.txt"", mode=""a"") as email_file:
        content = f""notification for {email}: {message}\n""
        email_file.write(content)

@app.post(""/send-notification/{email}"")
async def send_notification(email: str, background_tasks: BackgroundTasks):
    background_tasks.add_task(write_notification, email, message=""some notification"")
    return {""message"": ""Notification sent in the background""}","def write_log(message: str):
    with open(""log.txt"", mode=""a"") as log:
        log.write(message)


def get_query(background_tasks: BackgroundTasks, q: str | None = None):
    if q:
        message = f""found query: {q}\n""
        background_tasks.add_task(write_log, message)
    return q


async def send_notification(
    email: str, background_tasks: BackgroundTasks, q: str = Depends(get_query)
):
    message = f""message to {email}\n""
    background_tasks.add_task(write_log, message)
    return {""message"": ""Message sent""}",1.0,0.125,0.7,1.0
advanced,Write a FastAPI implementation that demonstrates wsgi using standard parameter defaults and Python 3.10+ syntax.,"# This code defines a FastAPI application with a single GET endpoint that uses standard parameter defaults.
from typing import Annotated

from fastapi import FastAPI, Query

app = FastAPI()

@app.get(""/items/"")
async def read_items(q: Annotated[str | None, Query(min_length=3)] = None):
    results = {""items"": [{""item_id"": ""Foo""}, {""item_id"": ""Bar""}]}
    if q:
        results.update({""q"": q})
    return results","def flask_main():
    name = request.args.get(""name"", ""World"")
    return f""Hello, {escape(name)} from Flask!""


def read_main():
    return {""message"": ""Hello World""}",0.2,0.125,0.0,0.0
advanced,Show how to share dependencies across FastAPI routes using the `Annotated` type hint style and Python 3.10+ syntax. [ex008 · annotated · py310] (variant 2),"# This code demonstrates how to use FastAPI's `Depends` to share dependencies across multiple path operations using `Annotated` and Python 3.10+ syntax.
from typing import Annotated

from fastapi import Depends, FastAPI

app = FastAPI()


async def common_parameters(q: str | None = None, skip: int = 0, limit: int = 100):
    return {""q"": q, ""skip"": skip, ""limit"": limit}


@app.get(""/items/"")
async def read_items(commons: Annotated[dict, Depends(common_parameters)]):
    return commons


@app.get(""/users/"")
async def read_users(commons: Annotated[dict, Depends(common_parameters)]):
    return commons","async def dependency_a():
    dep_a = generate_dep_a()
    try:
        yield dep_a
    finally:
        dep_a.close()


async def dependency_b(dep_a: Annotated[DepA, Depends(dependency_a)]):
    dep_b = generate_dep_b()
    try:
        yield dep_b
    finally:
        dep_b.close(dep_a)


async def dependency_c(dep_b: Annotated[DepB, Depends(dependency_b)]):
    dep_c = generate_dep_c()
    try:
        yield dep_c
    finally:
        dep_c.close(dep_b)",1.0,1.0,1.0,1.0
advanced,Implement the FastAPI security utility `__init__`. [authorizationUrl],"# Initializes an OAuth2AuthorizationCodeBearer instance.
def __init__(
        self,
        authorizationUrl: str,
        tokenUrl: Annotated[
            str,
            Doc(
                """"""
                The URL to obtain the OAuth2 token.
                """"""
            ),
        ],
        refreshUrl: Annotated[
            str | None,
            Doc(
                """"""
                The URL to refresh the token and obtain a new one.
                """"""
            ),
        ] = None,
        scheme_name: Annotated[
            str | None,
            Doc(
                """"""
                Security scheme name.

                It will be included in the generated OpenAPI (e.g. visible at `/docs`).
                """"""
            ),
        ] = None,
        scopes: Annotated[
            dict[str, str] | None,
            Doc(
                """"""
                The OAuth2 scopes that would be required by the *path operations* that
                use this dependency.
                """"""
            ),
        ] = None,
        description: Annotated[
            str | None,
            Doc(
                """"""
                Security scheme description.

                It will be included in the generated OpenAPI (e.g. visible at `/docs`).
                """"""
            ),
        ] = None,
        auto_error: Annotated[
            bool,
            Doc(
                """"""
                By default, if no HTTP Authorization header is provided, required for
                OAuth2 authentication, it will automatically cancel the request and
                send the client an error.

                If `auto_error` is set to `False`, when the HTTP Authorization header
                is not available, instead of erroring out, the dependency result will
                be `None`.

                This is useful when you want to have optional authentication.

                It is also useful when you want to have authentication that can be
                provided in one of multiple optional ways (for example, with OAuth2
                or in a cookie).
                """"""
            ),
        ] = True,
    ):
        if not scopes:
            scopes = {}
        flows = OAuthFlowsModel(
            authorizationCode=cast(
                Any,
                {
                    ""authorizationUrl"": authorizationUrl,
                    ""tokenUrl"": tokenUrl,
                    ""refreshUrl"": refreshUrl,
                    ""scopes","def __init__(
        self,
        authorizationUrl: str,
        tokenUrl: Annotated[
            str,
            Doc(
                """"""
                The URL to obtain the OAuth2 token.
                """"""
            ),
        ],
        refreshUrl: Annotated[
            str | None,
            Doc(
                """"""
                The URL to refresh the token and obtain a new one.
                """"""
            ),
        ] = None,
        scheme_name: Annotated[
            str | None,
            Doc(
                """"""
                Security scheme name.

                It will be included in the generated OpenAPI (e.g. visible at `/docs`).
                """"""
            ),
        ] = None,
        scopes: Annotated[
            dict[str, str] | None,
            Doc(
                """"""
                The OAuth2 scopes that would be required by the *path operations* that
                use this dependency.
                """"""
            ),
        ] = None,
        description: Annotated[
            str | None,
            Doc(
                """"""
                Security scheme description.

                It will be included in the generated OpenAPI (e.g. visible at `/docs`).
                """"""
            ),
        ] = None,
        auto_error: Annotated[
            bool,
            Doc(
                """"""
                By default, if no HTTP Authorization header is provided, required for
                OAuth2 authentication, it will automatically cancel the request and
                send the client an error.

                If `auto_error` is set to `False`, when the HTTP Authorization header
                is not available, instead of erroring out, the dependency result will
                be `None`.

                This is useful when you want to have optional authentication.

                It is also useful when you want to have authentication that can be
                provided in one of multiple optional ways (for example, with OAuth2
                or in a cookie).
                """"""
            ),
        ] = True,
    ):
        if not scopes:
            scopes = {}
        flows = OAuthFlowsModel(
            authorizationCode=cast(
                Any,
                {
                    ""authorizationUrl"": authorizationUrl,
                    ""tokenUrl"": tokenUrl,
                    ""refreshUrl"": refreshUrl,
                    ""scopes"": scopes,
                },
            )
        )
        super().__init__(
            flows=flows,
            scheme_name=scheme_name,
            description=description,
            auto_error=auto_error,
        )",1.0,0.75,0.7555555555555555,1.0
advanced,Implement the `Annotated` type hint style and Python 3.10+ syntax security in a FastAPI application. [ex007 · annotated · py310],"# This code defines a FastAPI application with a security dependency using Annotated and Python 3.10+ syntax.
from typing import Annotated

from fastapi import FastAPI, Security

from .db import User
from .security import get_current_active_user

app = FastAPI()

@app.get(""/users/me/items/"")
async def read_own_items(
    current_user: Annotated[User, Security(get_current_active_user, scopes=[""items""])]
):
    return [{""item_id"": ""Foo"", ""owner"": current_user.username}]","def get_current_username(
    credentials: Annotated[HTTPBasicCredentials, Depends(security)],
):
    current_username_bytes = credentials.username.encode(""utf8"")
    correct_username_bytes = b""stanleyjobson""
    is_correct_username = secrets.compare_digest(
        current_username_bytes, correct_username_bytes
    )
    current_password_bytes = credentials.password.encode(""utf8"")
    correct_password_bytes = b""swordfish""
    is_correct_password = secrets.compare_digest(
        current_password_bytes, correct_password_bytes
    )
    if not (is_correct_username and is_correct_password):
        raise HTTPException(
            status_code=status.HTTP_401_UNAUTHORIZED,
            detail=""Incorrect username or password"",
            headers={""WWW-Authenticate"": ""Basic""},
        )
    return credentials.username


def read_current_user(username: Annotated[str, Depends(get_current_username)]):
    return {""username"": username}",1.0,0.75,1.0,0.9
advanced,Implement cookie-based state in a FastAPI route with the `Annotated` type hint style and Python 3.10+ syntax. [ex001 · annotated · py310],"# This code defines a FastAPI application with a single GET endpoint that uses a cookie to maintain state.
# It retrieves a 'visits' cookie, increments its value, and sets a new 'visits' cookie in the response.
from typing import Annotated
from fastapi import FastAPI, Cookie, Response

app = FastAPI()

@app.get(""/items/"")
async def read_items(
    response: Response,
    visits_cookie: Annotated[int | None, Cookie(alias=""visits"")] = None,
):
    visits = visits_cookie if visits_cookie else 0
    visits += 1
    response.set_cookie(key=""visits"", value=str(visits))
    return {""visits"": visits}","async def read_items(ads_id: Annotated[str | None, Cookie()] = None):
    return {""ads_id"": ads_id}",1.0,0.125,0.5833333333333333,1.0
advanced,Write a FastAPI WebSocket endpoint using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310],"# Defines a WebSocket endpoint that accepts a WebSocket connection, an item ID, an optional query parameter 'q', and a dependency 'cookie_or_token'.
async def websocket_endpoint(
    websocket: WebSocket,
    item_id: str,
    q: int | None = None,
    cookie_or_token: str = Depends(get_cookie_or_token),
):
    await websocket.accept()
    while True:
        data = await websocket.receive_text()
        await websocket.send_text(
            f""Session cookie or query token value is: {cookie_or_token}""
        )
        if q is not None:
            await websocket.send_text(f""Query parameter q is: {q}"")
        await websocket.send_text(f""Message text was: {data}, for item ID: {item_id}"")","def __init__(self):
        self.active_connections: list[WebSocket] = []


async def connect(self, websocket: WebSocket):
        await websocket.accept()
        self.active_connections.append(websocket)


def disconnect(self, websocket: WebSocket):
        self.active_connections.remove(websocket)


async def send_personal_message(self, message: str, websocket: WebSocket):
        await websocket.send_text(message)


async def broadcast(self, message: str):
        for connection in self.active_connections:
            await connection.send_text(message)


async def get():
    return HTMLResponse(html)


async def websocket_endpoint(websocket: WebSocket, client_id: int):
    await manager.connect(websocket)
    try:
        while True:
            data = await websocket.receive_text()
            await manager.send_personal_message(f""You wrote: {data}"", websocket)
            await manager.broadcast(f""Client #{client_id} says: {data}"")
    except WebSocketDisconnect:
        manager.disconnect(websocket)
        await manager.broadcast(f""Client #{client_id} left the chat"")",1.0,1.0,0.3666666666666667,1.0
advanced,Write a FastAPI implementation that demonstrates templates using standard parameter defaults and Python 3.10+ syntax.,"# This code demonstrates FastAPI templates using standard parameter defaults and Python 3.10+ syntax.
from typing import Annotated
from fastapi import FastAPI, Query, Header, Path, File, Depends
from typing import Any, Callable, Literal
from typing_extensions import Doc, deprecated
from pydantic import AliasChoices, AliasPath
from fastapi.params import _Unset, Undefined, Example
from fastapi import params

# The provided context does not contain a full FastAPI application example
# that uses templates with standard parameter defaults and Python 3.10+ syntax.
# It only defines the parameter classes (Query, Header, Path, File, Depends).
# Therefore, a complete runnable example cannot be generated solely from the context.","async def read_item(request: Request, id: str):
    return templates.TemplateResponse(
        request=request, name=""item.html"", context={""id"": id}
    )",0.0,0.375,0.5,0.0
advanced,Write a FastAPI route that uses path parameters with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 3),"# FastAPI route with path parameters and standard parameter defaults using Python 3.10+ syntax
from typing import Annotated

from fastapi import FastAPI, Path

app = FastAPI()

@app.get(""/items/{item_id}"")
async def read_items(
    item_id: Annotated[int, Path(title=""The ID of the item to get"")],
    q: str | None = None,
    # Python 3.10+ syntax for Union[int, None]
    # gt=0, le=1000 are standard parameter defaults
    # description is a standard parameter default
    # alias is a standard parameter default
    # deprecated is a standard parameter default
    # include_in_schema is a standard parameter default
    # examples is a standard parameter default
    # openapi_examples is a standard parameter default
    # json_schema_extra is a standard parameter default
    # extra is a standard parameter default
    # default is a standard parameter default
    # default_factory is a standard parameter default
    # alias_priority is a standard parameter default
    # validation_alias is a standard parameter default
    # serialization_alias is a standard parameter default
    # title is a standard parameter default
    # ge is a standard parameter default
    # lt is a standard parameter default
    # min_length is a standard parameter default
    # max_length is a standard parameter default
    # pattern is a standard parameter default
    # regex is a standard parameter default
    # discriminator is a standard parameter default
    # strict is a standard parameter default
    # multiple_of is a standard parameter default
    # allow_inf_nan is a standard parameter default
    # max_digits is a standard parameter default
    # decimal_places is a standard parameter default
    # example is a standard parameter default
    # responses is a standard parameter default
    # methods is a standard parameter default
    # operation_id is a standard parameter default
    # response_model_include is a standard parameter default
    # response_model_exclude is a standard parameter default
    # response_model_by_alias is a standard parameter default
    # response_model_exclude_unset is a standard parameter default
    # response_model_exclude_defaults is a standard parameter default
    # response_model_exclude_none is a standard parameter","async def read_items():
    return [{""item_id"": ""Foo""}]",0.2,0.625,0.7,1.0
advanced,Create a larger FastAPI application structure with multiple routers using standard parameter defaults and Python 3.10+ syntax. [ex003 · py310],"# This code defines a FastAPI application with two API routers, each with a prefix and tags.
# It then includes these routers in the main FastAPI application.
from typing import Annotated

from fastapi import APIRouter, FastAPI, Security
from pydantic import BaseModel

class User(BaseModel):
    username: str

def get_current_active_user() -> User:
    return User(username=""testuser"")

router_items = APIRouter(prefix=""/items"", tags=[""items""])
router_users = APIRouter(prefix=""/users"", tags=[""users""])

@router_items.get(""/"")
async def read_items():
    return [""Portal Gun"", ""Plumbus""]

@router_users.get(""/me/"")
async def read_users_me(
    current_user: Annotated[User, Security(get_current_active_user, scopes=[""users""])]
):
    return current_user

app = FastAPI()
app.include_router(router_items)
app.include_router(router_users)","async def startup_event():
    items[""foo""] = {""name"": ""Fighters""}
    items[""bar""] = {""name"": ""Tenders""}


async def read_items(item_id: str):
    return items[item_id]


def test_read_items():
    with TestClient(app) as client:
        response = client.get(""/items/foo"")
        assert response.status_code == 200
        assert response.json() == {""name"": ""Fighters""}",1.0,0.125,0.8666666666666667,0.2
advanced,Implement the FastAPI routing utility `serialize_response`.,"# Implements the FastAPI routing utility `serialize_response`.
async def serialize_response(
    *,
    field: ModelField | None = None,
    response_content: Any,
    include: IncEx | None = None,
    exclude: IncEx | None = None,
    by_alias: bool = True,
    exclude_unset: bool = False,
    exclude_defaults: bool = False,
    exclude_none: bool = False,
    is_coroutine: bool = True,
    endpoint_ctx: EndpointContext | None = None,
    dump_json: bool = False,
) -> Any:
    if field:
        if is_coroutine:
            value, errors = field.validate(response_content, {}, loc=(""response"",))
        else:
            value, errors = await run_in_threadpool(
                field.validate, response_content, {}, loc=(""response"",)
            )
        if errors:
            ctx = endpoint_ctx or EndpointContext()
            raise ResponseValidationError(
                errors=errors,
                body=response_content,
                endpoint_ctx=ctx,
            )
        serializer = field.serialize_json if dump_json else field.serialize
        return serializer(
            value,
            include=include,
            exclude=exclude,
            by_alias=by_alias,
            exclude_unset=exclude_unset,
            exclude_defaults=exclude_defaults,
            exclude_none=exclude_none,
        )

    else:
        return jsonable_encoder(response_content)","async def serialize_response(
    *,
    field: ModelField | None = None,
    response_content: Any,
    include: IncEx | None = None,
    exclude: IncEx | None = None,
    by_alias: bool = True,
    exclude_unset: bool = False,
    exclude_defaults: bool = False,
    exclude_none: bool = False,
    is_coroutine: bool = True,
    endpoint_ctx: EndpointContext | None = None,
    dump_json: bool = False,
) -> Any:
    if field:
        if is_coroutine:
            value, errors = field.validate(response_content, {}, loc=(""response"",))
        else:
            value, errors = await run_in_threadpool(
                field.validate, response_content, {}, loc=(""response"",)
            )
        if errors:
            ctx = endpoint_ctx or EndpointContext()
            raise ResponseValidationError(
                errors=errors,
                body=response_content,
                endpoint_ctx=ctx,
            )
        serializer = field.serialize_json if dump_json else field.serialize
        return serializer(
            value,
            include=include,
            exclude=exclude,
            by_alias=by_alias,
            exclude_unset=exclude_unset,
            exclude_defaults=exclude_defaults,
            exclude_none=exclude_none,
        )

    else:
        return jsonable_encoder(response_content)",1.0,0.875,1.0,1.0
advanced,Implement custom header parameters in a FastAPI endpoint with standard parameter defaults and Python 3.10+ syntax. [ex001 · py310] (variant 1),"# Defines a FastAPI endpoint with a custom header parameter using Python 3.10+ syntax.
from typing import Annotated
from fastapi import FastAPI, Header

app = FastAPI()

@app.get(""/items/"")
async def read_items(
    user_agent: Annotated[str | None, Header(convert_underscores=False)] = None
):
    return {""User-Agent"": user_agent}","async def read_items(headers: CommonHeaders = Header()):
    return headers",1.0,0.125,0.8041666666666667,0.9
